"","rownames(landvegcomm)","longitude","latitude","observed_spprichness"
"1114","1114",2120296.556,637117.2954,21
"1115","1115",2157709.579,603352.1036,17
"1116","1116",2197234.655,643969.506,33
"1117","1117",2188502.503,565200.1605,24
"1119","1119",2253517.933,638100.08,27
"1122","1122",2151740.533,615758.9826,30
"1123","1123",2223775.064,616337.1171,36
"1124","1124",2265386.279,645978.5492,28
"1125","1125",2217257.63,601531.9629,26
"1126","1126",2150621.277,614226.7002,32
"1127","1127",2228642.518,626972.5749,37
"1128","1128",2260831.517,638418.6757,19
"1129","1129",2262263.915,697458.5848,27
"1131","1131",2150538.795,608551.9094,28
"1132","1132",2231629.017,628876.1213,23
"1133","1133",2182485.998,566761.3549,31
"1134","1134",2116943.689,640251.2337,31
"1135","1135",2162514.368,598745.9782,30
"1136","1136",2190116.472,626949.9976,31
"1138","1138",2136418.341,630181.4385,38
"1140","1140",2262976.835,690356.0943,9
"1141","1141",2222003.904,592538.4715,35
"1143","1143",2223685.914,625538.8139,24
"1144","1144",2269668.716,647887.1119,18
"1145","1145",2262617.453,700170.5183,27
"1146","1146",2184741.299,562020.3786,20
"1147","1147",2161238.136,595144.1489,26
"1148","1148",2234154.893,688063.6283,20
"1149","1149",2189270.346,568232.3194,39
"1150","1150",2152872.681,660220.0143,29
"1151","1151",2163719.106,594834.4167,20
"1153","1153",2213256.016,599958.2876,29
"1154","1154",2148968.734,643518.5499,28
"1155","1155",2241645.867,624978.1723,24
"1156","1156",2265947.319,685375.9305,30
"1157","1157",2218990.844,592933.3498,17
"1159","1159",2226319.51,623712.8616,16
"1161","1161",2259890.068,698842.8804,29
"1162","1162",2192389.623,562462.9873,27
"1164","1164",2213720.472,644572.9659,24
"1166","1166",2140170.497,637127.0752,29
"1167","1167",2163790.615,593267.7629,20
"1168","1168",2266445.829,679947.9146,25
"1169","1169",2211806.755,604474.7227,20
"1171","1171",2219376.088,616498.3058,24
"1173","1173",2217795.973,602806.7435,28
"1174","1174",2141763.342,628404.2955,22
"1175","1175",2227786.611,623269.3603,18
"1176","1176",2262635.583,639573.2701,25
"1177","1177",2265152.811,695718.838,21
"1178","1178",2114534.615,634078.0224,29
"1179","1179",2157388.855,604721.8991,26
"1180","1180",2196624.672,643513.2749,30
"1182","1182",2137765.976,636586.0042,32
"1183","1183",2252737.466,638249.8206,23
"1184","1184",2259656.131,694516.8702,16
"1187","1187",2224924.369,617777.5691,22
"1188","1188",2265287.803,645118.8859,27
"1189","1189",2218784.909,598504.1892,30
"1190","1190",2148397.733,615828.0095,32
"1191","1191",2227825.552,627715.3693,28
"1192","1192",2260929.07,640140.497,30
"1194","1194",2183531.01,561054.2182,21
"1195","1195",2122916.971,663928.8373,27
"1196","1196",2232825.585,626588.1489,35
"1197","1197",2181215.117,564527.8949,24
"1198","1198",2113976.688,645730.3582,20
"1199","1199",2163501.339,597797.4144,19
"1200","1200",2184293.329,648918.506,32
"1257","1257",2263998.04,701433.0694,32
"3980","3980",2198495.71,652973.0655,23
